SKU,HTS,Customs Description
6000001652,3304995000,Skin Care
6000001653,3304995000,Skin Care
6000001654,3304995000,Skin Care
6000001655,3304995000,Skin Care
6000001656,3304995000,Skin Care
6000001657,3304995000,Skin Care
6000001658,3304995000,Skin Care
6000001659,3305900000,Hair Care
6000001660,3305100000,Hair Care
6000001661,3305100000,Hair Care
6000001662,3305100000,Hair Care
6000001663,3305100000,Hair Care
6000001664,3305100000,Hair Care
6000001665,3305100000,Hair Care
6000001666,3305100000,Hair Care
6000001667,3305100000,Hair Care
6000001668,3305100000,Hair Care
6000001669,3305100000,Hair Care
6000001670,3305100000,Hair Care
6000001671,3305100000,Hair Care
6000001672,3305100000,Hair Care
6000001673,3305100000,Hair Care
6000001674,3305100000,Hair Care
6000001675,3305100000,Hair Care
6000001676,3305100000,Hair Care
6000001679,3305100000,Hair Care
6000001680,3305100000,Hair Care
6000001682,3305100000,Hair Care
6000001683,3305900000,Hair Care
6000001706,3304995000,Skin Care
6000001707,3304995000,Skin Care
6000001708,3304995000,Skin Care
6000001709,3304995000,Skin Care
6000001728,3305100000,Hair Care
6000001729,3305100000,Hair Care
6000001730,3305100000,Hair Care
6000001731,3305100000,Hair Care
6000001732,3305100000,Hair Care
6000001733,3305100000,Hair Care
6000001742,3304995000,Skin Care
6000001743,3304995000,Skin Care
6000001744,3304995000,Skin Care
6000001745,3304995000,Skin Care
6000001746,3304995000,Skin Care
6000001747,3304995000,Skin Care
6000001748,3304995000,Skin Care
6000001749,3304995000,Skin Care
6000001750,3305100000,Hair Care
6000001751,3305900000,Hair Care
6000001754,3304995000,Skin Care
6000001761,3305100000,Hair Care
6000001762,3305900000,Hair Care
6000001763,3305900000,Hair Care
6000001764,3305900000,Hair Care
6000001765,3305900000,Hair Care
6000001766,3305900000,Hair Care
6000001767,3305900000,Hair Care
6000001785,3304995000,Skin Care
6000001786,3304995000,Skin Care
6000001787,3304995000,Skin Care
6000001788,3304995000,Skin Care
6000001789,3305900000,Hair Care
6000001790,3305900000,Hair Care
6000001791,3305900000,Hair Care
6000001792,3305900000,Hair Care
6000001793,2106909200,Food Preparation
6000001794,2106909700,Food Preparation
6000001795,2106905200,Food Preparation
6000001796,3004909235,Medicament Products
6000001798,3305300000,Hair Care
6000001799,3305300000,Hair Care
6000001800,3305300000,Hair Care
6000001801,3305300000,Hair Care
6000001802,3305300000,Hair Care
6000001805,3305100000,Hair Care
6000001806,3305100000,Hair Care
6000001807,3304995000,Skin Care
6000001808,3305100000,Hair Care
6000001809,3305100000,Hair Care
6000001810,3305100000,Hair Care
6000001812,3305100000,Hair Care
6000001817,3305900000,Hair Care
6000001819,3401300000,Soap Products
6000001820,3304995000,Skin Care
6000001821,3304995000,Skin Care
6000001822,3304995000,Skin Care
6000001824,3305300000,Hair Care
6000001825,3305300000,Hair Care
6000001826,3305300000,Hair Care
6000001827,3305300000,Hair Care
6000001832,3305900000,Hair Care
6000001833,3305900000,Hair Care
6000001834,3305900000,Hair Care
6000001839,3305100000,Hair Care
6000001840,3305100000,Hair Care
6000001842,3305100000,Hair Care
6000001843,3305100000,Hair Care
6000001844,3305100000,Hair Care
6000001849,3305100000,Hair Care
6000001864,3305900000,Hair Care
6000001887,3305100000,Hair Care
6000001888,3305100000,Hair Care
6000001889,3304995000,Skin Care
6000001890,3304995000,Skin Care
6000001891,3305900000,Hair Care
6000001892,3305900000,Hair Care
6000001896,3305900000,Hair Care
6000001913,3304900000,Skin Care
6000001925,3304990000,Skin Care
6000001930,3304995000,Skin Care
6000001931,3304995000,Skin Care
6000001932,3304995000,Skin Care
6000001933,3304995000,Skin Care
6000001934,3304995000,Skin Care
